phaseFrac,spacingFactor,widthFactor,helixPlusWeight,anglePlusDeg,helixMinusWeight,angleMinusDeg,axialWeight,bendingWeight,ringWeight,ringSpacingFactor,jointRingWeight,jointRingWidthFactor,baseDensity,eval,VF,stressRatio,dispRatio,maxHM,maxAbsUz
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,1,0.85,3.66061053881942,1.85427718270251,25137986.2139202,0.109358664025771
3.98107173148728e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,2,0.85,3.66061050333654,1.85427718334354,25137985.9702537,0.109358664063577
2.51188639227677e-08,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,3,0.85,3.66061062400505,1.85427717888634,25137986.7989033,0.109358663800707
9.99999999999999e-09,17.6595129974853,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,4,0.85,3.69228376632617,1.85589227625519,25355491.2306303,0.109453916491177
9.99999999999999e-09,18.3469301964791,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,5,0.85,3.45123475171415,1.83879218501471,23700169.8731854,0.10844541401365
9.99999999999999e-09,18,0.880873509758384,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,6,0.85,3.61262719473859,1.85378104569226,24808477.070784,0.109329403631953
9.99999999999999e-09,18,0.919518076571419,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,7,0.85,3.70461448634955,1.85422079261403,25440168.2173429,0.109355338339192
9.99999999999999e-09,18,0.9,0.781306071191557,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,8,0.85,3.66220493372715,1.85430165951189,25148935.1736047,0.109360107580812
9.99999999999999e-09,18,0.9,0.818631732330272,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,9,0.85,3.66020865894509,1.85422872136553,25135226.4418458,0.109355805948717
9.99999999999999e-09,18,0.9,0.8,44.3751301757895,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,10,0.85,3.86792062961373,1.8632770943854,26561617.0943784,0.109889446762663
9.99999999999999e-09,18,0.9,0.8,45.6248698242105,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,11,0.85,3.55288292510951,1.85588012898309,24398203.8088869,0.109453200088332
9.99999999999999e-09,18,0.9,0.8,45,0.781306071191557,45,0.35,0.35,4e-09,32,0.75,3,0.04,12,0.85,3.66220493774606,1.85430163649535,25148935.2012032,0.109360106223378
