parameter,value
phaseFrac,9.99999933269658e-09
spacingFactor,18.6864477359037
widthFactor,0.869726925395837
helixPlusWeight,0.796175214177856
anglePlusDeg,46.8647541519014
helixMinusWeight,0.809604233843852
angleMinusDeg,47.9068156725583
axialWeight,0.345584187810227
bendingWeight,0.349818027218099
ringWeight,4e-09
ringSpacingFactor,31.9999999993084
jointRingWeight,0.751507504114015
jointRingWidthFactor,2.95928724192709
baseDensity,0.0415041390634808
