configName,configLabel,baselineMaxHM,bestMaxHM,baselineStressAggregate,bestStressAggregate,baselineTipUz,bestTipUz,baselineMaxDisp,bestMaxDisp
min_bending,Min M_b,6867156.70567455,27392755.2451948,3194902.99089558,11559713.2135671,-0.0589764383772815,-0.208527117040057,0.0593981232138493,0.210041000998012
min_torsion,Min M_s,3846939.80033154,18087958.5666928,1767514.38203931,6699146.48024074,-0.0320479302241739,-0.118509653814505,0.0355691035380178,0.132141770776084
min_shear,Min T,5970656.81683846,24123757.0673491,2697767.19032643,9866720.31750703,-0.0412453880043649,-0.146336941912832,0.0482326039914444,0.171491600948411
max_bending,Max M_b,6867156.70715068,27392755.2269854,3194902.99164359,11559713.2051225,-0.0589764383911508,-0.208527116889995,0.0593981232282959,0.210041000847761
max_torsion,Max M_s,3846939.80031392,16779665.4475096,1767514.38203103,6585081.77837649,-0.0321306347466682,-0.118655616851629,0.0355691035380658,0.131941160018319
max_shear,Max T,5970656.82065502,24375756.0483036,2697767.19203123,9879008.30152811,-0.0413041057803815,-0.146422793088693,0.0482326040208372,0.171313668960142
max_tension,Max N,5706052.4960976,27468671.0538233,2535752.80397851,10668112.529906,-0.0363031953590585,-0.140328506387165,0.0455085901018883,0.175855260103819
