case,maxHM_Pa,jointZoneMax_Pa,midBodyMax_Pa
full_worst,7812226.38493443,7812226.38493443,4305740.58975468
helix_worst,17178838.2210219,NaN,NaN
full_nominal,2504397.01419275,2504397.01419275,1894711.33441871
