phaseFrac,spacingFactor,widthFactor,helixPlusWeight,anglePlusDeg,helixMinusWeight,angleMinusDeg,axialWeight,bendingWeight,ringWeight,ringSpacingFactor,jointRingWeight,jointRingWidthFactor,middleRingWeight,baseDensity,eval,VF,stressRatio,dispRatio,maxHM,maxAbsUz
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.346067546647595,0.35,4e-09,12.00000068,0.75,3,1.5e-08,0.04,28,0.5345,1.07691008091217,0,4091345.74027392,0.0168363939988636
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.346067546647595,4e-09,12.00000068,0.75,3,1.5e-08,0.04,29,0.534500000000001,1.07499265516398,0,4084061.14724598,0.0168254336580659
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,2.76732389275725e-09,12.00000068,0.75,3,1.5e-08,0.04,30,0.5345,1.0738766733615,0,4079821.36207287,0.0168148688452189
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,12.0000004704451,0.75,3,1.5e-08,0.04,31,0.5345,1.0738766733615,0,4079821.36207287,0.0168148688452189
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,12.00000068,0.75749975001,3,1.5e-08,0.04,32,0.5345,1.0726020869615,0,4074979.0138298,0.0168547256479732
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,12.00000068,0.75,2.95023949232776,1.5e-08,0.04,33,0.5345,1.08080999983618,0,4106162.12741709,0.0168111056739837
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,12.00000068,0.75,3,1.03774645978397e-08,0.04,34,0.5345,1.0738766733615,0,4079821.36207287,0.0168148688452189
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,12.00000068,0.75,3,1.5e-08,0.0388365288577386,35,0.5345,1.07817745087886,0,4096160.67218557,0.0168167885123027
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,12.00000068,0.75,3,1.5e-08,0.04,36,0.5545,1.07194629848957,0,4072487.57334772,0.0150035651884663
9.99999999176821e-09,17.6489314433773,0.909527270767745,0.795044102733085,45.0858456710658,0.795044101034065,45.0858456144389,0.350945945683832,0.350347945193265,4e-09,12.00000068,0.75075686025844,3.01680991439266,1.5e-08,0.0400839002187033,37,0.052899999999995,8.84240413164381,0,33593642.6996192,710.330058150452
9.99999999423774e-09,17.7535164318668,0.906659278106064,0.796531306405899,45.0600920902009,0.796531305216874,45.0600920505618,0.350662102979217,0.350243553596822,4e-09,12.00000068,0.75052980227263,3.01175841169946,1.5e-08,0.0400587082956177,38,0.195350000000001,5.47795019322107,0,20811568.7518535,0.397991326798631
