iteration,J,volumeFraction,change,iterationTimeSec,C_min_bending,C_min_torsion,C_min_shear,C_max_bending,C_max_torsion,C_max_shear
0,1,0.399999999999985,0,0,22.0800994641451,16.4837286039117,0.515823350172573,22.0800994672954,16.4837286029477,0.51582335017782
1,0.992806830278886,0.4,0.0128316478825435,100.101682875,21.7700193729748,16.4455735357981,0.513072329647794,21.7700193756546,16.4455735337012,0.513072329674269
2,0.987646794229513,0.4,0.0121154076845826,79.9153640833333,21.5266584432705,16.4228535103644,0.51134607350364,21.5266584488648,16.4228535069232,0.511346073485952
3,0.983463552761425,0.4,0.0115255076754034,73.959160625,21.3052532965361,16.4114049393438,0.510188976402747,21.3052532960238,16.4114049368541,0.510188976368929
4,0.980186983111368,0.4,0.0109691481492746,78.2756056666667,21.1085978260084,16.4091603437161,0.509506368248836,21.1085978239898,16.4091603408366,0.509506368212061
5,0.977675624842043,0.4,0.0104494458732296,73.3615256666667,20.9376153026885,16.4135650885255,0.509159481510469,20.9376153010623,16.4135650881043,0.509159481491101
6,0.975752063321409,0.399999999999999,0.009963297643792,78.5358954166667,20.792006840673,16.4214331275897,0.509007145449871,20.7920068366352,16.4214331280692,0.509007145442469
7,0.974241038656974,0.4,0.00951040778896728,82.049679875,20.6701778171907,16.4297783862407,0.508934355944063,20.6701778160489,16.4297783839452,0.508934355937241
8,0.972990007136611,0.4,0.00909353020908965,78.9132629583333,20.5691979073874,16.4364921118597,0.508857674400309,20.569197906989,16.4364921104044,0.508857674431302
9,0.971878617528417,0.4,0.00872606762730443,81.2708691666667,20.4840840446279,16.4396670138681,0.508771732302604,20.4840840408663,16.439667011522,0.508771732310701
10,0.9708211848833,0.4,0.008441412491758,86.6381585416667,20.4114257964894,16.4368805817499,0.508703850492575,20.4114258048124,16.4368805807309,0.508703850500968
11,0.969763531642343,0.4,0.00817895287518378,82.6347505416667,20.3476819186775,16.4296326791245,0.50860010461044,20.3476819177544,16.4296326767106,0.508600104617655
12,0.968686428449295,0.4,0.00788846398342347,78.332903625,20.2905479166499,16.4210192661566,0.508380128349088,20.2905479145311,16.4210192646486,0.508380128320375
13,0.967588496940977,0.4,0.00757482568072465,77.7308751666667,20.2387538531721,16.4120019874007,0.508037583563779,20.2387538547179,16.4120019852871,0.508037583537252
14,0.966470065618954,0.4,0.00722319927509019,76.9517477083333,20.1899502719155,16.4045086893886,0.507556462475334,20.1899502687079,16.4045086876113,0.507556462526224
15,0.965332587896581,0.4,0.00685107563418019,76.5579764166667,20.1422515221457,16.3991923215938,0.506953516312794,20.142251522375,16.399192319488,0.506953516286852
16,0.964170477270848,0.4,0.00647205995759048,76.0051109583333,20.0946822602504,16.3956329699445,0.506252056263015,20.094682261807,16.3956329675719,0.506252056214824
17,0.962993705777991,0.4,0.0061484973392647,75.5900360416667,20.0477809108151,16.3932948309292,0.505473596611059,20.0477809137253,16.3932948261008,0.505473596611768
18,0.961817023298364,0.4,0.00593207996184941,73.2570551666667,20.0018252134454,16.3931620707816,0.504601827117997,20.0018252154084,16.3931620664483,0.504601827086794
19,0.9606486112778,0.399999999999999,0.005601788856329,79.760849625,19.9551990423885,16.3946443024105,0.503697206718472,19.9551990405559,16.3946443008387,0.503697206707763
20,0.959498422664607,0.4,0.00527329284580824,78.2955649583333,19.9085115719995,16.3968606094761,0.502791520511701,19.9085115708067,16.3968606087296,0.502791520512593
21,0.958383901728815,0.4,0.00498703176231829,74.3141300416667,19.863389572137,16.3999306955616,0.501876194137446,19.8633895760195,16.3999306955855,0.501876194178162
22,0.957303614517752,0.4,0.00478229378515249,76.316274125,19.8194777192973,16.403588567328,0.500964474798672,19.8194777134602,16.4035885676072,0.500964474809093
23,0.956249934447896,0.4,0.00449579876884376,74.61600225,19.7799912703073,16.4036190502693,0.500128477068621,19.7799912761128,16.4036190388072,0.500128477062336
24,0.955210415789423,0.4,0.00444425628148426,77.5392974583333,19.735672478692,16.4122328949597,0.499106857652897,19.7356724805055,16.4122329018819,0.499106857628954
25,0.954230412071257,0.4,0.00414802053665075,75.2062470416667,19.6998800413663,16.4137938450519,0.498251962073777,19.6998800387101,16.4137938379005,0.498251962069853
26,0.953275063586663,0.4,0.00398729531673359,77.690302,19.6599047751382,16.4202507528949,0.497338519469758,19.6599047732776,16.4202507574716,0.497338519464197
27,0.952374829720334,0.4,0.00377782081758127,75.3135870416667,19.6243606186263,16.423886390516,0.496518668021927,19.6243606192694,16.423886382656,0.49651866806185
28,0.951502095845321,0.4,0.00358827163879649,78.3569532916667,19.5930326987876,16.4251169326093,0.495742625895423,19.5930327020813,16.4251169350329,0.49574262589155
29,0.950671946369553,0.4,0.00338707816906905,80.96427975,19.5609772543136,16.4270623357259,0.495016149557859,19.5609772559459,16.4270623218687,0.495016149548585
30,0.949880359550149,0.4,0.00323829694253075,75.7286902916667,19.5323255187896,16.4280895001636,0.494314720111183,19.5323255177212,16.4280895076895,0.494314720110744
31,0.949118892136616,0.4,0.00307994174332249,77.074730625,19.5016058057208,16.4306601216435,0.493639836093957,19.501605805246,16.4306601158517,0.493639836108661
32,0.948401258706665,0.4,0.00296205602619887,81.935524625,19.4730036754364,16.43332106813,0.492986438098144,19.4730036740262,16.4333210613973,0.492986438132332
33,0.947718355965663,0.4,0.00280954404896411,81.823558875,19.4458600975487,16.4349133661998,0.492394492516113,19.4458600990185,16.4349133634875,0.492394492494437
34,0.947074472269177,0.4,0.00267782591878574,81.9921012083333,19.419466784723,16.437132854895,0.491823505075271,19.4194667855507,16.4371328490885,0.491823505067719
35,0.946461501945401,0.4,0.00254717531447168,81.153425375,19.3939230020934,16.4388289647027,0.491300691047397,19.3939230025166,16.4388289558279,0.491300691091202
