locationIndex,elemStart,elemEnd,meanDensity,stdDensity,rhoGt05,rhoGt07
1,1,8140,0.4,0.18368366679552,0.235135135135135,0.0540540540540541
2,8141,16280,0.4,0.18368366679552,0.235135135135135,0.0540540540540541
3,16281,24420,0.4,0.18368366679552,0.235135135135135,0.0540540540540541
4,24421,32560,0.4,0.18368366679552,0.235135135135135,0.0540540540540541
5,32561,40700,0.4,0.18368366679552,0.235135135135135,0.0540540540540541
6,40701,48840,0.4,0.18368366679552,0.235135135135135,0.0540540540540541
7,48841,56980,0.4,0.18368366679552,0.235135135135135,0.0540540540540541
8,56981,65120,0.4,0.18368366679552,0.235135135135135,0.0540540540540541
9,65121,73260,0.4,0.18368366679552,0.235135135135135,0.0540540540540541
10,73261,81400,0.4,0.18368366679552,0.235135135135135,0.0540540540540541
11,81401,89540,0.4,0.18368366679552,0.235135135135135,0.0540540540540541
12,89541,97680,0.4,0.18368366679552,0.235135135135135,0.0540540540540541
