elemId,analytic,finiteDifference,absoluteError,relativeError,step
1859,-0.00100781134651539,-0.00100395210478232,3.85924173307208e-06,0.00382932951332191,1e-05
4000,-0.000967218009723228,-0.000969623055754143,2.40504603091446e-06,0.00248039278422881,1.033893072655e-05
3521,-0.000994000427267313,-0.000994732789219879,7.32361952565609e-07,0.000736239883215235,1.00603578486297e-05
6958,-0.000773671156826698,-0.000774138002992198,4.66846165499395e-07,0.000603052897151337,1.29253881468403e-05
1566,-0.000317713353778902,-0.00031757675258991,1.36601188991303e-07,0.000429951046648057,3.14749124676675e-05
