origin,continuousCount,binaryCount,continuousFraction,binaryFraction,meanConfidence
mixed,10080,9768,0.0604838709677419,0.0598078653955658,0.0539433826289432
helixPlus,57288,56041,0.34375,0.343129871481665,0.875767014527884
helixMinus,57288,56042,0.34375,0.343135994318008,0.875768772411955
axial,25128,25128,0.150777649769585,0.153854631619551,0.867838572784314
bending,864,864,0.00518433179723502,0.00529013060009919,0.626279254915095
ring,0,0,0,0,NaN
jointRing,16008,15480,0.0960541474654378,0.0947815065851105,0.785637674713695
