angleDeg,phaseFrac,spacingFactor,widthFactor,helixPlusWeight,helixMinusWeight,axialWeight,bendingWeight,ringWeight,ringSpacingFactor,jointRingWeight,baseDensity,eval,J,stressObjective,dispObjective,trueMaxHM,maxAbsUz,fullVolumeFraction,maxHM_min_bending,tipUz_min_bending,maxHM_min_torsion,tipUz_min_torsion,maxHM_min_shear,tipUz_min_shear,maxHM_max_bending,tipUz_max_bending,maxHM_max_torsion,tipUz_max_torsion,maxHM_max_shear,tipUz_max_shear,maxHM_max_tension,tipUz_max_tension
45,9.99999999999999e-09,18,0.9,0.8,0.8,0.35,0.35,4e-09,32,0.75,0.04,1,0.924004278595493,0.924004278595493,1.22530498009672,63092155.1915483,1.06941238212935,0.4,63092155.1915483,-1.06941238212935,36950639.7122501,-0.6429460307408,10204343.3274006,-0.0383429720721264,63092155.1065914,-1.06941238062087,36950639.3843765,-0.64145590602084,10204343.2947272,-0.0383429719200812,25758787.8359547,-0.15987858315674
45.002499999987,9.99999999999999e-09,18,0.9,0.8,0.8,0.35,0.35,4e-09,32,0.75,0.04,2,0.92395751114126,0.92395751114126,1.22522397592352,63084503.3296264,1.06935594416778,0.4,63084503.1809802,-1.06935594157928,36949031.9070887,-0.642916278037752,10203034.7654465,-0.0383396036919282,63084503.3296264,-1.06935594416778,36949031.5171848,-0.641426207519816,10203034.7698608,-0.0383396037091336,25755167.279989,-0.159869671935639
45,3.98107173148728e-09,18,0.9,0.8,0.8,0.35,0.35,4e-09,32,0.75,0.04,3,0.924004276988168,0.924004276988168,1.22530497909259,63092154.8853358,1.06941238136923,0.4,63092154.8853358,-1.06941238136923,36950639.5459716,-0.642946030664547,10204343.2764315,-0.0383429719923969,63092154.7773791,-1.06941237966956,36950639.3805286,-0.641455904963716,10204343.2648208,-0.0383429719378297,25758787.7101156,-0.159878583029581
45,9.99999999999999e-09,17.7309910786216,0.9,0.8,0.8,0.35,0.35,4e-09,32,0.75,0.04,4,0.931825212193822,0.931825212193822,1.23134498973767,64317083.8991824,1.07266305588059,0.4,64317083.8686168,-1.07266305532164,35958067.7037598,-0.648627674623634,10501964.1210963,-0.038492705811309,64317083.8991824,-1.07266305588059,35958067.5186435,-0.647132314472971,10501964.1256173,-0.0384927058276862,26465018.8698909,-0.160993894320076
45,9.99999999999999e-09,18,0.883523379049992,0.8,0.8,0.35,0.35,4e-09,32,0.75,0.04,5,0.919320351428629,0.919320351428629,1.21780184564186,62649757.2056186,1.06268390775004,0.4,62649757.2056186,-1.06268390775004,36790502.4887248,-0.638706923900495,10145019.8949237,-0.0381316837086238,62649757.155191,-1.06268390682989,36790502.046705,-0.637224179026364,10145019.8821937,-0.0381316836528743,25618682.8557425,-0.158716230366442
45,9.99999999999999e-09,18,0.9,0.802492022133202,0.8,0.35,0.35,4e-09,32,0.75,0.04,6,0.924052567302884,0.924052567302884,1.22612730319878,63099912.114011,1.07011376707523,0.4,63099912.0844791,-1.07011376654874,36967909.0695844,-0.643239965051739,10208883.6982258,-0.0383751479354538,63099912.114011,-1.07011376707523,36936212.8262736,-0.641748581831679,10208883.6909421,-0.0383751479067803,25771680.8027147,-0.159949213247459
45,9.99999999999999e-09,18,0.9,0.8,0.802492022133202,0.35,0.35,4e-09,32,0.75,0.04,7,0.92405256769712,0.92405256769712,1.2261276482502,63099912.4736771,1.07011381487879,0.4,63099912.4578219,-1.07011381479381,36936213.2663712,-0.643239558868818,10208883.7321439,-0.0383751644767708,63099912.4736771,-1.07011381487879,36967908.6388602,-0.641749056022526,10208883.7220087,-0.0383751644252211,25771680.9075928,-0.159949352229844
45,9.99999999999999e-09,18,0.9,0.8,0.8,0.347528097449523,0.35,4e-09,32,0.75,0.04,8,0.92423856960291,0.92423856960291,1.22888611513121,63047228.9500323,1.07242894461589,0.4,63047228.8013566,-1.07242894191487,36967416.3195759,-0.644421669376898,10208410.7609553,-0.0384766926869662,63047228.9500323,-1.07242894461589,36967415.9048856,-0.642927424533204,10208410.7510981,-0.0384766926388906,25773204.4214224,-0.160216183174278
45,9.99999999999999e-09,18,0.9,0.8,0.8,0.35,0.347528097449523,4e-09,32,0.75,0.04,9,0.924092064943717,0.924092064943717,1.22573315821169,63089359.0790379,1.06982522666721,0.4,63089359.0702731,-1.06982522655381,36944654.5209411,-0.642955566218473,10206871.3464419,-0.0383635068628241,63089359.0790379,-1.06982522666721,36944654.1193775,-0.641465494939233,10206871.3390346,-0.0383635068312352,25766198.0187182,-0.159899825745129
45,9.99999999999999e-09,18,0.9,0.8,0.8,0.35,0.35,1.59242869259491e-09,32,0.75,0.04,10,0.924004278595493,0.924004278595493,1.22530498009672,63092155.1915483,1.06941238212935,0.4,63092155.1915483,-1.06941238212935,36950639.7122501,-0.6429460307408,10204343.3274006,-0.0383429720721264,63092155.1065914,-1.06941238062087,36950639.3843765,-0.64145590602084,10204343.2947272,-0.0383429719200812,25758787.8359547,-0.15987858315674
45,9.99999999999999e-09,18,0.9,0.8,0.8,0.35,0.35,4e-09,31.3876385546001,0.75,0.04,11,0.924004278595493,0.924004278595493,1.22530498009672,63092155.1915483,1.06941238212935,0.4,63092155.1915483,-1.06941238212935,36950639.7122501,-0.6429460307408,10204343.3274006,-0.0383429720721264,63092155.1065914,-1.06941238062087,36950639.3843765,-0.64145590602084,10204343.2947272,-0.0383429719200812,25758787.8359547,-0.15987858315674
45,9.99999999999999e-09,18,0.9,0.8,0.8,0.35,0.35,4e-09,32,0.750093749999512,0.04,12,0.924006283548602,0.924006283548602,1.22531028378172,63092331.3284666,1.06941707719538,0.4,63092331.3284666,-1.06941707719538,36950719.0178817,-0.642948911538408,10204363.5306441,-0.0383431318867941,63092331.266394,-1.06941707605423,36950718.6264361,-0.641458779070303,10204363.5280621,-0.0383431318757124,25758837.2242306,-0.159879302943647
