parameter,value
angleDeg,44.984997938778
phaseFrac,1.55709968558047e-07
spacingFactor,14.9604987442169
widthFactor,0.90628169658133
helixPlusWeight,0.79449227302305
helixMinusWeight,0.782675513374485
axialWeight,0.33164633275544
bendingWeight,0.337669146468443
ringWeight,5.49799614573737e-08
ringSpacingFactor,34.0914809333548
jointRingWeight,0.750066761268037
baseDensity,0.0419928683771035
