configName,configLabel,baselineMaxHM,bestMaxHM,baselineStressAggregate,bestStressAggregate,baselineTipUz,bestTipUz,baselineMaxDisp,bestMaxDisp
min_bending,Min M_z,73763110.0955583,51337662.3492132,30108911.3855447,22022763.9145993,-0.864120700527965,-0.966214600430775,0.870568273992844,0.973790077699873
min_torsion,Min M_s,43308099.0732473,35104945.8945387,16740044.6894869,13846276.4085611,-0.573525242227719,-0.595826085470551,0.625209501484622,0.665997401317831
min_shear,Min T_y,10239229.3341407,8876949.86840021,4172344.20593112,3712388.77725985,-0.0286026780108056,-0.0350884961740332,0.0935841636919609,0.117469553243593
max_bending,Max M_z,73763110.0783107,51337662.3674428,30108911.378893,22022763.9230001,-0.864120700326949,-0.966214600716501,0.870568273787362,0.973790077963976
max_torsion,Max M_s,43308099.0849145,35133905.606355,16740044.6942866,13852891.5974179,-0.572490760488305,-0.594428688184125,0.625209501637568,0.665991841091169
max_shear,Max T_y,10239229.333556,8876949.85624819,4172344.20569803,3712388.77196005,-0.0286026780092824,-0.0350884961116568,0.0935841636890526,0.11746955294851
max_tension,Max N,26345616.5202085,21857004.1714104,11261170.5457185,9391709.10837757,-0.145122187126828,-0.144264082719529,0.167441616831385,0.181407729960206
