config_name,vol_frac,sHM_ref,sHM_final,sHM_ratio,u_ref,u_final,u_ratio
min_bending,0.788378378378377,2848265.51360709,5002608.64615774,1.75637019170392,0.0167187897736012,0.0269919467030967,1.61446773771369
min_torsion,0.788378378378377,2592272.34062524,3903858.58059043,1.50596004879983,0.0135353558922976,0.0220353511053388,1.62798461161101
min_shear,0.788378378378377,511431.315582246,1106273.24014027,2.16309249440625,0.00119136373394059,0.00233872884730673,1.96306869235568
max_bending,0.788378378378377,2848265.51356904,5002608.6459021,1.75637019163763,0.0167187897733621,0.0269919467016922,1.61446773765277
max_torsion,0.788378378378377,2592272.34045812,3903858.58096752,1.50596004904238,0.0135353558912453,0.0220353511071698,1.62798461187285
max_shear,0.788378378378377,511431.315584148,1106273.24014852,2.16309249441433,0.00119136373395128,0.00233872884733706,1.96306869236352
ALL_MAX,0.788378378378377,2848265.51360709,5002608.64615774,1.75637019170392,0.0167187897736012,0.0269919467030967,1.61446773771369
