origin,continuousCount,binaryCount,continuousFraction,binaryFraction,meanConfidence
mixed,1152,1284,0.11566265060241,0.11395101171459,0.078028311977915
helixPlus,5172,5808,0.519277108433735,0.515441959531416,0.640953139869283
helixMinus,2664,3120,0.267469879518072,0.276890308839191,0.67965408432151
axial,768,840,0.0771084337349398,0.0745473908413206,0.689832494655363
bending,204,216,0.0204819277108434,0.0191693290734824,0.409752851219104
ring,0,0,0,0,NaN
jointRing,0,0,0,0,NaN
middleRing,0,0,0,0,NaN
