variant,configName,configLabel,volumeFraction,maxHM,stressAggregate,tipUz,maxDisp
full_pipe,nominal,Nominal (straight),1,759830.521190488,390655.668974285,-0.00192636508881228,0.0025760390864311
threshold_05,nominal,Nominal (straight),0.474850000000036,94413995.7650169,40949592.2696379,-143.821111502406,208.391030551512
threshold_volume,nominal,Nominal (straight),0.520000000000042,92639461.8347,36123273.9544124,-5.97068511084816,8.78662177360988
