origin,continuousCount,binaryCount,continuousFraction,binaryFraction,meanConfidence
mixed,1872,1872,0.0975609756097561,0.0964650108213954,0.0614101786742473
helixPlus,5412,5498,0.282051282051282,0.283314438833351,0.765693419087418
helixMinus,5724,5832,0.298311444652908,0.300525610635886,0.761550933378346
axial,1968,1968,0.102564102564103,0.101411934453262,0.812057297931886
bending,216,216,0.0112570356472795,0.0111305781716995,0.782388214680566
ring,0,0,0,0,NaN
jointRing,3996,4020,0.208255159474672,0.207152427084407,0.752434713100067
