variant,configName,configLabel,volumeFraction,maxHM,stressAggregate,tipUz,maxDisp
full_pipe,min_bending,Min M_b,1,1134854.09861837,615614.237758049,-0.013022579253537,0.0131296392767375
full_pipe,min_torsion,Min M_s,1,970247.560877413,467930.723613853,-0.00759530313001225,0.00821247806901635
full_pipe,min_shear,Min T,1,1079140.68478722,568886.382347079,-0.0104779621622536,0.0121632992991841
full_pipe,max_bending,Max M_b,1,1134854.09852769,615614.237714699,-0.0130225792526515,0.0131296392758372
full_pipe,max_torsion,Max M_s,1,970247.560850983,467930.723601683,-0.00757822479835179,0.00821247806878551
full_pipe,max_shear,Max T,1,1079140.68484005,568886.382376483,-0.0104575396003609,0.0121632992997936
full_pipe,max_tension,Max N,1,1066532.87198386,533284.689576622,-0.00830513120959947,0.0103473627798318
threshold_05,min_bending,Min M_b,0.729550000000033,3339233.48576357,1591702.19369978,-0.031357996800214,0.0316194580586805
threshold_05,min_torsion,Min M_s,0.729550000000033,3568332.04550518,1443499.16058402,-0.0199987087755952,0.0215740467734897
threshold_05,min_shear,Min T,0.729550000000033,2997415.99516197,1453536.00144777,-0.0252230579422553,0.0293081751028166
threshold_05,max_bending,Max M_b,0.729550000000033,3339233.48517074,1591702.19341065,-0.0313579967946509,0.0316194580531003
threshold_05,max_torsion,Max M_s,0.729550000000033,3371152.34143177,1400901.27424209,-0.0200212237999453,0.0216436365736015
threshold_05,max_shear,Max T,0.729550000000033,3084951.26297692,1461013.11231666,-0.0251886503928084,0.0293294256696043
threshold_05,max_tension,Max N,0.729550000000033,3448014.6270752,1498803.32845588,-0.0211891347728362,0.0263895772742979
threshold_volume,min_bending,Min M_b,0.737725000000032,3144587.82091129,1528239.18225681,-0.0305981292753654,0.0308547040114262
threshold_volume,min_torsion,Min M_s,0.737725000000032,3532077.64623924,1411827.88535938,-0.0194991651846163,0.0210412543614998
threshold_volume,min_shear,Min T,0.737725000000032,2911168.9141448,1402304.76421324,-0.0246197382484121,0.0286093306084976
threshold_volume,max_bending,Max M_b,0.737725000000032,3144587.82031785,1528239.18195922,-0.0305981292695434,0.0308547040055228
threshold_volume,max_torsion,Max M_s,0.737725000000032,3003024.01256176,1352118.51744374,-0.0195120473527079,0.0210970381543698
threshold_volume,max_shear,Max T,0.737725000000032,2864076.77369541,1400817.62189888,-0.0245671013213459,0.0286074807368856
threshold_volume,max_tension,Max N,0.737725000000032,3261022.35748862,1426202.00206347,-0.0206327685410346,0.0257017007214609
