origin,continuousCount,binaryCount,continuousFraction,binaryFraction,meanConfidence
mixed,456,456,0.0808510638297872,0.071969696969697,0.0282597041708724
helixPlus,1800,2088,0.319148936170213,0.329545454545455,0.880397816551521
helixMinus,1800,2088,0.319148936170213,0.329545454545455,0.880397818975991
axial,120,120,0.0212765957446809,0.0189393939393939,0.79700998047493
bending,0,0,0,0,NaN
ring,0,0,0,0,NaN
jointRing,1464,1584,0.259574468085106,0.25,0.883866864277081
