variant,configName,configLabel,volumeFraction,maxHM,stressAggregate,tipUz,maxDisp
full_pipe,min_bending,Min M_b,1,6867156.70567455,3194902.99089558,-0.0589764383772815,0.0593981232138493
full_pipe,min_torsion,Min M_s,1,3846939.80033154,1767514.38203931,-0.0320479302241739,0.0355691035380178
full_pipe,min_shear,Min T,1,5970656.81683846,2697767.19032643,-0.0412453880043649,0.0482326039914444
full_pipe,max_bending,Max M_b,1,6867156.70715068,3194902.99164359,-0.0589764383911508,0.0593981232282959
full_pipe,max_torsion,Max M_s,1,3846939.80031392,1767514.38203103,-0.0321306347466682,0.0355691035380658
full_pipe,max_shear,Max T,1,5970656.82065502,2697767.19203123,-0.0413041057803815,0.0482326040208372
full_pipe,max_tension,Max N,1,5706052.4960976,2535752.80397851,-0.0363031953590585,0.0455085901018883
threshold_05,min_bending,Min M_b,0.624116503456219,29092201.8652884,11568907.8706958,-0.192885200814941,0.194257153190496
threshold_05,min_torsion,Min M_s,0.624116503456219,20076010.4464364,7584426.16034974,-0.110492853856255,0.12318470075851
threshold_05,min_shear,Min T,0.624116503456219,25864734.6521159,9898057.60745215,-0.135516280572037,0.158828878555013
threshold_05,max_bending,Max M_b,0.624116503456219,29092201.8628943,11568907.8690526,-0.19288520079223,0.194257153163145
threshold_05,max_torsion,Max M_s,0.624116503456219,19855189.6158473,7349208.37065157,-0.110498825728221,0.122859298245341
threshold_05,max_shear,Max T,0.624116503456219,24849106.2099526,9904541.03277615,-0.135621167535163,0.158715559309089
threshold_05,max_tension,Max N,0.624116503456219,33391929.3608763,11357681.0290771,-0.131560478338988,0.164890476808772
threshold_volume,min_bending,Min M_b,0.668859447004606,24769964.7528697,10273429.3871268,-0.163256149777423,0.164379235130846
threshold_volume,min_torsion,Min M_s,0.668859447004606,17997681.5695887,6635512.25229183,-0.0939503426988066,0.10456067750954
threshold_volume,min_shear,Min T,0.668859447004606,22471503.7038555,8765867.46964726,-0.114915640476555,0.134677663809755
threshold_volume,max_bending,Max M_b,0.668859447004606,24769964.7680264,10273429.3923921,-0.163256149862192,0.164379235216036
threshold_volume,max_torsion,Max M_s,0.668859447004606,17572918.6748635,6528594.3302034,-0.0940522149586876,0.104385844211854
threshold_volume,max_shear,Max T,0.668859447004606,21785434.9321328,8816008.31998136,-0.114884776431409,0.134419997602273
threshold_volume,max_tension,Max N,0.668859447004606,28469466.1315299,10160074.8003402,-0.111050913949393,0.139205530105178
