label,volFracRaw,volFracClean,maxConstraintBinary,feasibleSelected,sHM_max,u_max,uz_max,nSolidRaw,nSolidElems
full_pipe,1,1,NaN,NaN,846183.157172309,0.0131296392767375,0.0130229043247097,NaN,NaN
volume_t0.35,0.463636363636364,0.462727272727273,NaN,1,30656901.6674777,2.7549610618373,2.73404656426781,12240,12216
heaviside_b8,0.325,0.0134848484848485,NaN,0,1546525.24153749,12591.0522360972,12494.3653172384,8580,356
heaviside_b16,0.325,0.0134848484848485,NaN,0,1546525.24153749,12591.0522360972,12494.3653172384,8580,356
heaviside_b32,0.325,0.0134848484848485,NaN,0,1546525.24153749,12591.0522360972,12494.3653172384,8580,356
heaviside_b64,0.325,0.0134848484848485,NaN,0,1546525.24153749,12591.0522360972,12494.3653172384,8580,356
