config_name,vol_frac,sHM_ref,sHM_final,sHM_ratio,u_ref,u_final,u_ratio,uz_ref,uz_final,uz_ratio
min_bending,0.463551707385648,846183.157110359,1660009.03570763,1.96176090454981,0.0131296392758372,0.303252820476272,23.0968127992943,0.0130229043238172,0.300787540640402,23.0968095258367
min_torsion,0.463551707385648,671884.67421406,1249734.81736589,1.86004364339426,0.00893216149143443,0.190151669896031,21.2884272276513,0.00885192708403491,0.189411966867574,21.3978227644003
min_shear,0.463551707385648,205012.384970774,403878.24902407,1.97001878243427,0.00179074871000287,0.0459464908994297,25.657698728347,0.000540566568348259,0.0136929736262888,25.3307814949205
max_bending,0.463551707385648,846183.157172309,1660009.03591204,1.96176090464775,0.0131296392767375,0.303252820500652,23.0968127995674,0.0130229043247097,0.300787540664381,23.0968095260951
max_torsion,0.463551707385648,671884.674192069,1245050.7966215,1.85307217807678,0.00893216149117067,0.190168464920761,21.2903075150107,0.00885192708376162,0.189426598034722,21.399475644373
max_shear,0.463551707385648,205012.384963065,403878.249044676,1.97001878260886,0.00179074870991089,0.0459464909056636,25.657698733146,0.000540566568326305,0.0136929736274678,25.3307814981304
ALL_MAX,0.463551707385648,846183.157172309,1660009.03591204,1.96176090464775,0.0131296392767375,0.303252820500652,23.0968127995674,0.0130229043247097,0.300787540664381,23.0968095260951
