iteration,volumeFraction,change,iterationTimeSec,S_min_bending_c01,gStress_min_bending_c01,maxStress_min_bending_c01,S_min_bending_c02,gStress_min_bending_c02,maxStress_min_bending_c02,S_min_bending_c03,gStress_min_bending_c03,maxStress_min_bending_c03,S_min_torsion_c01,gStress_min_torsion_c01,maxStress_min_torsion_c01,S_min_torsion_c02,gStress_min_torsion_c02,maxStress_min_torsion_c02,S_min_torsion_c03,gStress_min_torsion_c03,maxStress_min_torsion_c03,S_min_shear_c01,gStress_min_shear_c01,maxStress_min_shear_c01,S_min_shear_c02,gStress_min_shear_c02,maxStress_min_shear_c02,S_min_shear_c03,gStress_min_shear_c03,maxStress_min_shear_c03,S_max_bending_c01,gStress_max_bending_c01,maxStress_max_bending_c01,S_max_bending_c02,gStress_max_bending_c02,maxStress_max_bending_c02,S_max_bending_c03,gStress_max_bending_c03,maxStress_max_bending_c03,S_max_torsion_c01,gStress_max_torsion_c01,maxStress_max_torsion_c01,S_max_torsion_c02,gStress_max_torsion_c02,maxStress_max_torsion_c02,S_max_torsion_c03,gStress_max_torsion_c03,maxStress_max_torsion_c03,S_max_shear_c01,gStress_max_shear_c01,maxStress_max_shear_c01,S_max_shear_c02,gStress_max_shear_c02,maxStress_max_shear_c02,S_max_shear_c03,gStress_max_shear_c03,maxStress_max_shear_c03
10,0.923913970209324,0.0208436940532537,23.07591875,676012.295809542,-0.466302381410953,971097.968932209,236277.681564691,-0.813463694730866,290108.97115026,84551.9016117949,-0.933248035846224,107068.113653513,487543.626078711,-0.496552884632552,717064.503397275,223073.88024674,-0.769649533873891,266911.138677993,95247.7998958283,-0.901645252778037,119146.524114945,157756.95116843,-0.492853333190773,223117.363820751,25332.4803401779,-0.9185628089832,31384.9257811395,11063.7551293012,-0.964432967963307,11819.2566035047,676012.295789162,-0.466302381494377,971097.968902503,236277.681557131,-0.813463694760369,290108.971146854,84551.9016088096,-0.933248035857003,107068.113648492,487543.626085768,-0.496552884591112,717064.503407893,223073.880247919,-0.769649533857047,266911.138680347,95247.7998976676,-0.901645252769466,119146.524119537,157756.951161915,-0.492853333188419,223117.363811971,25332.4803391233,-0.918562808982849,31384.9257801852,11063.7551293694,-0.964432967961454,11819.2566040413
11,0.909672925837144,0.0204268201721887,22.6192519583333,689783.412709786,-0.455430371625731,993185.36400795,234010.936697173,-0.815253242561938,289814.733620385,83938.7603986181,-0.933732098055387,107169.232472056,490998.631712582,-0.492985178017371,723626.49119716,221043.314410746,-0.771746336001973,266933.325551439,94389.8436880832,-0.902531195193847,119246.120946654,159327.936721318,-0.487803032200219,226561.172567256,25107.6213111094,-0.91928567099498,31454.5026811849,10961.5988636353,-0.964761373204676,11823.0527678096,689783.412713152,-0.45543037169178,993185.364012931,234010.936697389,-0.815253242585076,289814.733621581,83938.7603979048,-0.933732098064311,107169.232470641,490998.63169104,-0.492985178005221,723626.491163867,221043.314401476,-0.771746335996061,266933.325541718,94389.8436857174,-0.902531195189678,119246.120946755,159327.936710486,-0.487803032211513,226561.172552699,25107.6213092776,-0.919285670997161,31454.5026755304,10961.5988638139,-0.964761373202483,11823.0527686746
12,0.894226475819401,0.0200182837687449,22.8014152916667,703226.469213457,-0.44481735868641,1011159.5097839,231473.808894811,-0.817256252084945,289211.940115169,83319.7475567338,-0.934220795793043,107254.937465752,495223.969818274,-0.488622010975536,729344.313038998,218667.936487384,-0.774199197857726,266554.793313159,93423.2085093771,-0.903529361647681,119214.760227528,161299.415311043,-0.481465252545762,230877.982885274,24868.4726047744,-0.920054470521031,31545.7920182557,10849.3436657295,-0.965122243828939,11833.7061459562,703226.46927892,-0.444817358704773,1011159.50987886,231473.80891557,-0.817256252091612,289211.940140644,83319.7475622897,-0.934220795796956,107254.937474319,495223.969776272,-0.488622010984219,729344.312973898,218667.936471786,-0.774199197858516,266554.793296128,93423.208504578,-0.903529361646092,119214.760223692,161299.415299246,-0.481465252559863,230877.982868988,24868.4726028923,-0.920054470523409,31545.792017498,10849.3436658774,-0.965122243826861,11833.7061459193
13,0.877840307677837,0.01961791809337,22.481793625,715637.747490525,-0.435018913153426,1027039.6393783,228559.945924668,-0.819556686171277,288432.843154098,82719.8330840275,-0.934694415766268,107610.554512699,500076.576147771,-0.483611114456904,733258.895326869,215869.895487164,-0.777088509900569,266438.734081444,92388.6536580193,-0.904597663288284,119262.441914757,163641.247505352,-0.473936884491141,235841.448058213,24630.0199038472,-0.920821032574692,31603.9945098237,10723.0264602912,-0.96552832006979,11849.601186399,715637.747406098,-0.435018913291361,1027039.6392576,228559.945899718,-0.819556686213741,288432.843118642,82719.8330794945,-0.934694415778086,107610.554505251,500076.576160054,-0.48361111440919,733258.895344334,215869.895491052,-0.777088509881433,266438.734086265,92388.6536594382,-0.904597663280347,119262.441917864,163641.247500387,-0.473936884482937,235841.448051161,24630.0199030163,-0.920821032573726,31603.9945074667,10723.0264603993,-0.965528320067859,11849.6011874736
14,0.860594598896982,0.0192255597315026,22.2654955416667,727732.918289814,-0.425470027886068,1042864.1437844,225056.726230838,-0.82232240510802,288013.433497708,82045.1390481109,-0.935227072646145,108200.286967517,505942.295274964,-0.477554057783038,735580.464099421,212740.888088753,-0.780319584340744,266008.534936024,91259.1050819592,-0.905764057313079,119343.23833345,166337.884557769,-0.465267913123489,241071.417872291,24396.7232251699,-0.92157101938727,31766.1686651205,10575.3946799079,-0.966002917003757,11860.794688265,727732.918316723,-0.42547002793731,1042864.14382227,225056.726237866,-0.822322405124888,288013.4335042,82045.1390495041,-0.935227072653218,108200.286969893,505942.295279784,-0.477554057742619,735580.464104788,212740.888090211,-0.780319584324337,266008.534940307,91259.1050837063,-0.905764057304882,119343.238335245,166337.884547243,-0.46526791313276,241071.417857591,24396.7232235548,-0.921571019388859,31766.168660312,10575.3946800051,-0.966002917001883,11860.7946897684
15,0.842668698844067,0.0188410485368725,22.5505522916667,739607.69191468,-0.416095141594561,1057444.10297776,221097.395155003,-0.825448214474917,286972.930447847,81296.393670619,-0.935818191516873,109023.73810455,513344.165756381,-0.469910741076872,739615.842671865,209230.604952858,-0.783944371589228,265443.71685852,90025.4789765869,-0.907037923836957,119348.975418813,169243.423722693,-0.45592737698951,246319.42829232,24163.5248666512,-0.922320690126672,32014.3831536666,10401.9137547094,-0.966560612067701,11880.8788746399,739607.691982251,-0.416095141614885,1057444.10307376,221097.395172789,-0.825448214482897,286972.930475941,81296.3936737596,-0.935818191522491,109023.738111017,513344.165768449,-0.46991074102845,739615.842689235,209230.604958877,-0.783944371568356,265443.716870157,90025.478977824,-0.907037923829373,119348.975418917,169243.42371616,-0.455927376985516,246319.428283145,24163.5248656907,-0.922320690126191,32014.3831517403,10401.9137547834,-0.966560612065927,11880.8788745646
16,0.824287262534578,0.0184642275661351,22.9711207916667,751035.972407507,-0.407072752325317,1072228.40090408,216976.322696584,-0.828701715292468,285035.380023573,80623.61298796,-0.936349337844231,109984.472389177,522026.628327377,-0.46094505984992,747386.827900038,205503.72240098,-0.78779282364499,264834.439230551,88630.784153745,-0.908478113079148,119330.432611003,172273.741187382,-0.446185711787386,251679.948050992,23904.3997612663,-0.923153708466017,32276.9008214712,10202.7580031923,-0.967200844873987,11870.60943345,751035.972408705,-0.407072752399179,1072228.40090679,216976.322698177,-0.828701715312822,285035.380023151,80623.6129890973,-0.936349337851363,109984.47239165,522026.628359404,-0.46094505978028,747386.827953483,205503.7224102,-0.787792823621073,264834.439243157,88630.784157376,-0.90847811306919,119330.43261467,172273.74118902,-0.446185711756677,251679.948053159,23904.3997615389,-0.92315370846161,32276.9008228177,10202.7580031474,-0.967200844872625,11870.6094338291
17,0.805419499000008,0.0180949430148124,22.998569125,762838.937844904,-0.397754557101243,1085795.18212874,212874.421262454,-0.831940080985891,283844.550083571,79964.2034553562,-0.936869927927291,110864.070852531,532265.201857845,-0.45037250791062,759396.040337105,201588.331541788,-0.791835933077986,264338.295465485,87122.9013403926,-0.910035182461431,119329.491391422,175484.648887313,-0.435863496979156,256916.902171365,23620.5289958802,-0.924066277524964,32580.1371205098,9975.79586359068,-0.967930467827134,11856.0631261936,762838.93781288,-0.397754557202509,1085795.1820836,212874.42125394,-0.831940081013817,283844.550072458,79964.2034529412,-0.936869927937163,110864.070849026,532265.201841801,-0.450372507889902,759396.040324547,201588.33153386,-0.791835933072052,264338.295454387,87122.9013375805,-0.910035182458232,119329.491389005,175484.648881951,-0.435863496970475,256916.902163645,23620.5289951267,-0.924066277523898,32580.1371198904,9975.79586358021,-0.967930467825694,11856.0631248013
18,0.786422549267345,0.0177330441545162,23.1895692083333,774824.619569821,-0.388292111176211,1098878.99356271,208976.462907455,-0.835017437868774,283561.657032625,79243.096226328,-0.937439227055821,111549.557866961,543846.365100387,-0.438413571488968,774184.218811312,197339.370978755,-0.796223493132815,264202.718373634,85443.8303304651,-0.911769024134727,119318.185463951,178834.481071182,-0.425094676880661,262103.600650689,23330.3363303881,-0.924999169812415,32858.6153707151,9720.45324598258,-0.968751326473647,11867.5404371683,774824.619540804,-0.388292111276296,1098878.99352042,208976.462900672,-0.835017437894943,283561.65702053,79243.0962245032,-0.937439227065155,111549.557863949,543846.365074464,-0.438413571477639,774184.218789171,197339.370968059,-0.796223493130036,264202.71836288,85443.8303271195,-0.911769024132197,119318.185462216,178834.481063305,-0.425094676879573,262103.600639623,23330.3363291189,-0.92499916981305,32858.6153689033,9720.45324588251,-0.968751326472534,11867.5404390894
19,0.767642248502746,0.0173783832714258,23.600359375,787306.574918175,-0.378437867568446,1112397.55741215,205642.345932114,-0.837649653733584,283860.743307243,78396.0991468209,-0.9381079135976,112507.859190238,555465.084246248,-0.426415854104588,789425.112611676,193350.799208735,-0.800342170610363,264740.030319564,83472.6021114732,-0.91380455307511,118707.863881198,182148.951196652,-0.414439536400823,267051.251192487,22951.8395072504,-0.926215936495787,33071.2134792905,9458.02826848871,-0.96959495302473,11956.6366748088,787306.574898045,-0.378437867662759,1112397.5573803,205642.345927795,-0.837649653757477,283860.743296639,78396.0991467434,-0.93810791360547,112507.859192854,555465.084265226,-0.42641585404608,789425.112642348,193350.799212659,-0.800342170592767,264740.030323592,83472.6021128435,-0.913804553067848,118707.863884893,182148.951195197,-0.4144395363786,267051.251190261,22951.8395070369,-0.926215936493084,33071.2134782922,9458.02826843948,-0.969594953023491,11956.6366746723
20,0.749233664110721,0.0170308156059973,23.2789574166667,801549.763472491,-0.367193167050906,1125468.43502444,201901.090325251,-0.840603297062696,285454.720086783,77346.9419662893,-0.938936201325865,113462.879820487,566889.552868305,-0.414618723622869,806601.274591674,189452.380979123,-0.804367753773001,265122.685119978,81221.2183522513,-0.916129376123832,117758.241617299,185387.972826089,-0.404026942781807,271487.658297845,22562.5981018693,-0.927467244155204,33323.4548388497,9200.00669496654,-0.970424423802451,12053.8402094178,801549.763421023,-0.367193167171379,1125468.4349517,201901.090312063,-0.840603297093218,285454.720067569,77346.941960969,-0.938936201337769,113462.879812658,566889.552871681,-0.414618723579672,806601.274585851,189452.380981854,-0.80436775375691,265122.685122036,81221.2183522444,-0.91612937611815,117758.241618774,185387.972815262,-0.404026942789233,271487.658282471,22562.5981001356,-0.927467244157445,33323.4548357705,9200.00669484268,-0.970424423801491,12053.8402089865
21,0.732449121031384,0.0166901992938774,22.325726875,814231.640372523,-0.357181089544711,1145011.2162317,198263.003697427,-0.843475490633029,287600.884424721,76877.3462556089,-0.939306937352478,115328.276160516,578322.456284954,-0.402812883206739,823028.44601966,184860.346344135,-0.809109578846679,265159.7662812,78927.6337625203,-0.918497776578246,117159.62793864,187742.748595411,-0.396456964573875,274392.658693882,22448.3417298811,-0.927834548022237,33813.8375404512,8883.9973614982,-0.971440309815474,12100.6771311862,814231.640450826,-0.357181089563994,1145011.2163396,198263.003713598,-0.84347549064001,287600.884448705,76877.3462594639,-0.939306937357091,115328.276163815,578322.456318364,-0.402812883131728,823028.446018726,184860.346359117,-0.809109578818259,265159.766294083,78927.6337651163,-0.918497776570036,117159.627953304,187742.748596971,-0.396456964541132,274392.658696167,22448.3417300573,-0.927834548018355,33813.8375405381,8883.99736149744,-0.971440309814164,12100.6771312498
22,0.715445968585005,0.0163563953079998,22.5992386666667,829851.582200985,-0.344849471010514,1187016.29187983,193728.312326901,-0.847055534961347,288119.392346035,76086.7573709081,-0.939931090800075,117229.796688146,589924.657237031,-0.390832222833397,842099.934616112,180568.404836562,-0.813541521868255,267154.913937958,76875.8565533712,-0.92061648198648,116893.964933074,190987.023155513,-0.386027484178979,278673.078684122,22169.2770168464,-0.928731666900305,34875.0490855642,8680.68767655702,-0.972093896413619,12296.6223024745,829851.582190148,-0.344849471101728,1187016.29186234,193728.312322328,-0.847055534984254,288119.39233936,76086.7573674029,-0.939931090810421,117229.796681731,589924.657252165,-0.390832222776445,842099.934579204,180568.404841154,-0.813541521850865,267154.913945829,76875.8565536204,-0.920616481980837,116893.964921624,190987.023150121,-0.386027484168107,278673.078677068,22169.2770158568,-0.928731666900212,34875.0490830995,8680.68767653566,-0.972093896412406,12296.6223022476
23,0.697887152469957,0.0160292674018399,22.6491465,847963.793943586,-0.330550257321167,1224915.52205804,188490.50146011,-0.851190677478065,288316.592592923,75528.9477497628,-0.94037146987051,119810.195002497,603532.080850514,-0.376780930191362,865970.8561605,176846.327922046,-0.817385011528576,270447.060814476,75158.7681602376,-0.92238958115569,117373.171996976,195098.791707099,-0.372809241178063,284551.380972167,21820.6730953222,-0.929852335850409,35105.4438465138,8514.1869654759,-0.97262915194449,12479.966866227,847963.793914683,-0.330550257428447,1224915.52201748,188490.50145366,-0.851190677501932,288316.592584706,75528.9477471177,-0.940371469880121,119810.194999247,603532.080837567,-0.376780930162454,865970.856088079,176846.327920907,-0.817385011517364,270447.060824126,75158.768159197,-0.9223895811515,117373.171993892,195098.791697666,-0.372809241179575,284551.380959353,21820.6730938522,-0.929852335851912,35105.4438431213,8514.18696532058,-0.972629151943731,12479.9668681484
24,0.680090476427292,0.015708682053803,22.068461875,867789.593770416,-0.314898201552667,1266218.76042422,183303.249133121,-0.855285905081313,288471.437030234,75443.1301553246,-0.940439221072772,123164.272679469,618776.322002626,-0.361039427639635,889556.510783944,174101.749915653,-0.820219116634888,275232.937706411,73570.092431744,-0.924030078887549,118326.295451205,199852.377126209,-0.357527727540537,291662.436972821,21442.9357772822,-0.931066660926766,35730.3441650839,8369.60288108315,-0.973093951345913,12802.4023119319,867789.593828682,-0.314898201593104,1266218.760507,183303.249141373,-0.855285905093057,288471.43704539,75443.1301541794,-0.94043922108119,123164.272678115,618776.322038963,-0.361039427558767,889556.510781727,174101.749919781,-0.82021911661843,275232.937714748,73570.0924321624,-0.924030078881963,118326.29545021,199852.377108758,-0.357527727567125,291662.436947882,21442.9357748678,-0.931066660931361,35730.3441606994,8369.60288092373,-0.973093951345189,12802.40230961
25,0.661773283161805,0.0153945084127269,22.2038635833333,889730.443702304,-0.297576357806548,1304969.6259257,178705.196922688,-0.858915971472218,289168.312614769,75874.9500868718,-0.940098308236489,127064.954798604,636800.440474287,-0.342427369218152,920385.496853759,170766.150937908,-0.823663521593836,278145.361545226,72039.9350661091,-0.925610149409613,119521.81182312,204820.828999392,-0.341555475363855,298776.895208469,21191.9226576225,-0.93187360138814,36045.2847560695,8241.76844857989,-0.973504905068505,13116.8920947398,889730.443695143,-0.297576357900824,1304969.62591356,178705.196921777,-0.858915971490737,289168.312612897,75874.9500879845,-0.940098308243169,127064.95479858,636800.440401144,-0.342427369249072,920385.496673381,170766.150921054,-0.823663521599277,278145.361522317,72039.9350600371,-0.925610149410837,119521.81178403,204820.828995263,-0.341555475346881,298776.895202204,21191.9226569253,-0.931873601387252,36045.2847542445,8241.7684485448,-0.973504905067401,13116.8920928722
26,0.643185718398067,0.0150866182444724,21.8826894166667,914810.457197925,-0.277776209851007,1352387.08217209,174341.81832608,-0.862360767935902,290061.104154641,75675.4152813047,-0.940255836806927,130159.966611174,657353.508071928,-0.32120386830356,956627.431032352,166642.719753121,-0.82792145754942,279994.340503287,70739.0498420194,-0.926953469019305,121544.167756403,209197.306469711,-0.327486263547836,305766.238424132,20894.0090860787,-0.93283131433636,36610.5597934777,7996.72344695187,-0.97429265961671,13242.5211628418,914810.457172535,-0.277776209962173,1352387.08213406,174341.818321415,-0.862360767956951,290061.104146001,75675.4152791486,-0.940255836816167,130159.966607204,657353.508125683,-0.321203868202003,956627.431103445,166642.719762959,-0.827921457527589,279994.340512788,70739.0498447436,-0.926953469011537,121544.167790655,209197.306445447,-0.327486263594946,305766.238389353,20894.0090827411,-0.932831314344004,36610.5597850289,7996.72344664145,-0.974292659616527,13242.521155898
27,0.627363819235827,0.014784885879583,21.6338564583333,934249.826553564,-0.262429232885812,1380825.17972457,172199.736792697,-0.864051896662815,296653.4497942,77265.1844680588,-0.939000747166788,137952.826185254,671031.975998804,-0.307079213909412,971229.041621198,162990.788944318,-0.831692512964504,282064.034674916,69624.7337950574,-0.928104133635645,123510.784437193,213360.378673318,-0.314103092941989,311976.672574951,20896.6765349547,-0.932822739197221,37869.2710150401,7902.02917706865,-0.974597076525008,13617.9239874552,934249.826500818,-0.262429233020511,1380825.17964787,172199.736784285,-0.864051896686609,296653.449778273,77265.184467083,-0.939000747175254,137952.826185148,671031.975935664,-0.307079213927605,971229.041233573,162990.788946185,-0.831692512951158,282064.035323858,69624.7338041663,-0.928104133621362,123510.784483047,213360.378647455,-0.314103092993622,311976.672539672,20896.6765310358,-0.932822739206733,37869.2710028472,7902.02917679895,-0.974597076524708,13617.9239813353
