label,is_best,vol_frac,n_solid_elems,sHM_full_pipe,sHM_topology,sHM_ratio_topology_to_full_pipe,u_full_pipe,u_topology,u_ratio_topology_to_full_pipe,uz_full_pipe,uz_topology,uz_ratio_topology_to_full_pipe
volume_t0.35,1,0.462727272727273,12216,846183.157172309,30656901.6674777,36.2296287838248,0.0131296392767375,2.7549610618373,209.827627688022,0.0130229043247097,2.73404656426781,209.941384509768
heaviside_b8,0,0.0134848484848485,356,846183.157172309,1546525.24153749,1.82764833881298,0.0131296392767375,12591.0522360972,958979.296438517,0.0130229043247097,12494.3653172384,959414.659411384
heaviside_b16,0,0.0134848484848485,356,846183.157172309,1546525.24153749,1.82764833881298,0.0131296392767375,12591.0522360972,958979.296438517,0.0130229043247097,12494.3653172384,959414.659411384
heaviside_b32,0,0.0134848484848485,356,846183.157172309,1546525.24153749,1.82764833881298,0.0131296392767375,12591.0522360972,958979.296438517,0.0130229043247097,12494.3653172384,959414.659411384
heaviside_b64,0,0.0134848484848485,356,846183.157172309,1546525.24153749,1.82764833881298,0.0131296392767375,12591.0522360972,958979.296438517,0.0130229043247097,12494.3653172384,959414.659411384
