config_name,vol_frac,sHM_ref,sHM_final,sHM_ratio,u_ref,u_final,u_ratio
min_bending,0.4,2848265.51360709,6317906.32372176,2.21815918970302,0.0167187897736012,0.0947792579618191,5.66902624204743
min_torsion,0.4,2592272.34062524,6024000.10363165,2.32382994997304,0.0135353558922976,0.101148789473769,7.47293165237928
min_shear,0.4,511431.315582246,785166.018809143,1.53523258135896,0.00119136373394059,0.00660871182056081,5.54718230233654
max_bending,0.4,2848265.51356904,6317906.32352462,2.21815918966344,0.0167187897733621,0.0947792579604934,5.66902624204918
max_torsion,0.4,2592272.34045812,6024000.10397446,2.3238299502551,0.0135353558912453,0.10114878947856,7.47293165331427
max_shear,0.4,511431.315584148,785166.01880765,1.53523258135034,0.00119136373395128,0.00660871182032836,5.54718230209164
ALL_MAX,0.4,2848265.51360709,6317906.32372176,2.21815918970302,0.0167187897736012,0.10114878947856,6.0500066600678
