iteration,J,volumeFraction,change,iterationTimeSec,C_min_bending,C_min_torsion,C_min_shear,C_max_bending,C_max_torsion,C_max_shear
0,1,0.399999999999997,0,0,22.1714211217705,16.7078338720425,0.483832079373821,22.1714211202071,16.7078338738883,0.483832079376503
1,0.928400192537225,0.399999999999998,0.0138965734204817,95.433444875,20.4648333755713,15.7835891714081,0.443575053983532,20.4648333724415,15.7835891723659,0.443575053983459
2,0.868772061736914,0.399999999999997,0.0129805881208682,104.163763416667,19.0346710285295,14.9757741579729,0.410916818956897,19.0346710272879,14.9757741585283,0.410916818952884
3,0.818309905189535,0.4,0.0121752987036654,108.381123166667,17.8191722237552,14.2627902207615,0.384038174628271,17.8191722235304,14.2627902197075,0.384038174629042
4,0.775215641492192,0.399999999999997,0.0115454661091534,103.519841625,16.7728040185872,13.6377966591634,0.361608923846138,16.772804020631,13.6377966604764,0.361608923852539
5,0.738167833979593,0.399999999999998,0.0110581407567304,103.587647083333,15.8622451905312,13.0922152573865,0.34270264386726,15.8622451904069,13.0922152570164,0.342702643863012
6,0.706143993443488,0.400000000000001,0.0106796865922868,104.116521833333,15.0630099885863,12.6153317761498,0.326689114862223,15.0630099877729,12.6153317764394,0.326689114860321
7,0.678351494871905,0.4,0.0103769536108154,106.905103208333,14.3571312665665,12.1974141918795,0.313098118950457,14.3571312641673,12.1974141935131,0.313098118947056
8,0.654181361636696,0.400000000000001,0.0100764697082847,105.683271,13.7330233789767,11.830704042032,0.301525249977568,13.7330233768095,11.8307040425995,0.301525249976135
9,0.633126423665025,0.399999999999997,0.00973348191282342,100.753823625,13.1817879564535,11.5080895782945,0.291642862910708,13.1817879552617,11.5080895783231,0.291642862907035
10,0.614745230288846,0.4,0.00935699810650048,100.616982166667,12.6952590610449,11.2228114903217,0.283199975463806,12.6952590594654,11.2228114904003,0.28319997547597
11,0.598652758601976,0.4,0.00895988379460888,105.692954833333,12.2656267887819,10.9695060084155,0.275969369380694,12.2656267884394,10.9695060086886,0.275969369378014
12,0.584519469908803,0.4,0.0085467071579936,106.092545333333,11.8856769968687,10.743906582819,0.269752008661771,11.8856769957294,10.7439065836233,0.269752008665139
13,0.572065744194979,0.4,0.00813836394119916,103.740741083333,11.5490901423931,10.5419626771405,0.264400745321568,11.5490901418425,10.5419626777678,0.264400745318669
14,0.561055742212402,0.4,0.00774220184501989,104.45802675,11.250366188506,10.3602586653085,0.259793779630182,11.250366188503,10.3602586656151,0.259793779628726
15,0.551289657665492,0.399999999999997,0.00735257366193331,107.1375785,10.9848647471712,10.1960249204389,0.255821017105246,10.9848647463939,10.1960249203725,0.255821017103571
16,0.542606305527786,0.400000000000004,0.00698887400934456,101.274575416667,10.7482693595292,10.0475080310198,0.252382087341107,10.7482693593854,10.0475080318661,0.252382087339682
17,0.534873056594883,0.399999999999995,0.00667112979652995,104.239346541667,10.5364410457771,9.91359456132825,0.249389128070066,10.5364410455988,9.91359456156956,0.249389128075987
18,0.527976242449854,0.4,0.00638104829589353,106.512505291667,10.346496384826,9.79273683683172,0.246780691604,10.3464963846438,9.79273683714442,0.246780691606109
19,0.521811277898551,0.4,0.00607247521238774,106.062817208333,10.1762859241671,9.68283179255011,0.244521110031568,10.1762859245276,9.68283179282209,0.244521110027437
20,0.51629391376232,0.400000000000001,0.00579520982813969,104.291564791667,10.023569075074,9.58313493518243,0.242548642201253,10.0235690744745,9.58313493504913,0.242548642199514
21,0.511349824132415,0.4,0.00553334287538382,96.5578285833333,9.88691701164771,9.49384761399582,0.240763360567789,9.8869170106002,9.4938476144994,0.240763360571785
22,0.506904417354012,0.400000000000004,0.0052894485252884,98.63096,9.76375146369142,9.41261170929261,0.239193655981002,9.76375146364441,9.41261170961542,0.239193655977609
23,0.502899028554752,0.4,0.00507615217851326,105.156599166667,9.65267189084545,9.33942308671095,0.237771975819032,9.65267189043492,9.33942308737942,0.237771975822907
24,0.49928229093917,0.4,0.00486004771685755,100.711923916667,9.55268831644214,9.27313885009303,0.236484730966033,9.55268831655153,9.27313885023305,0.23648473096547
25,0.496008236462242,0.400000000000002,0.00466316951253265,101.280121666667,9.46263002278073,9.21336659968473,0.235297212513493,9.46263002292721,9.21336659970951,0.235297212512379
26,0.493036345193697,0.4,0.00445948847192912,106.035339208333,9.3815425489784,9.15929695571083,0.234197298181521,9.38154254886236,9.15929695574957,0.234197298184203
27,0.490330100146071,0.4,0.00426551792860841,106.127798041667,9.30809372351854,9.1104142713579,0.233171701324762,9.30809372408589,9.11041427138007,0.233171701323699
28,0.487860082720378,0.399999999999999,0.00405944729670316,103.003229833333,9.24204862712308,9.06585451124826,0.23221634416825,9.24204862678567,9.06585451202941,0.232216344167232
29,0.48559810401964,0.400000000000001,0.00386996925965488,100.520050708333,9.18205400879856,9.02507301847746,0.231331408995232,9.1820540082909,9.0250730189883,0.231331408993739
30,0.483523719428267,0.4,0.00367323670754738,105.075402375,9.12793494758629,8.98797779599154,0.230492868231967,9.12793494686894,8.98797779617959,0.230492868231655
31,0.481615490782319,0.4,0.00348822178197672,96.8755595,9.07856031591661,8.9537516713662,0.229718818239048,9.07856031569139,8.9537516720909,0.22971881824141
32,0.479855617331553,0.4,0.00331806489078196,97.1962904166667,9.03338764826534,8.92226911786718,0.228995482548514,9.03338764773267,8.92226911787729,0.228995482549662
33,0.478228893682014,0.400000000000001,0.00315615343146097,102.893291333333,8.99202684826379,8.89317671660837,0.228320299757553,8.99202684844432,8.89317671716053,0.228320299758318
34,0.476723802686464,0.399999999999999,0.00300431726138858,103.51872275,8.95417569757934,8.86638761323136,0.227683919925675,8.95417569740051,8.86638761357678,0.227683919929267
