origin,continuousCount,binaryCount,continuousFraction,binaryFraction,meanConfidence
mixed,3000,2892,0.146370023419204,0.157739718555689,0.069555072733286
helixPlus,7572,7332,0.36943793911007,0.399912730446166,0.586542189003726
helixMinus,7392,7128,0.360655737704918,0.388785862332279,0.587659108959298
axial,1596,190,0.0778688524590164,0.0103632595178357,0.380863328163174
bending,0,0,0,0,NaN
ring,0,0,0,0,NaN
jointRing,936,792,0.0456674473067916,0.043198429148031,0.662079552342157
